nodes_g1,nodes_g2,time_sec,time_format,distance
15,7,43.358765602111816,00h00m43s,21.0
13,9,0.011209964752197266,00h00m00s,16.0
15,12,600.0005867481232,00h10m00s,-1
19,5,0.023044824600219727,00h00m00s,31.0
35,6,600.0006530284882,00h10m00s,-1
7,19,290.5275113582611,00h04m50s,30.0
7,25,600.000949382782,00h10m00s,-1
9,17,28.276989698410034,00h00m28s,23.0
13,10,600.0005960464478,00h10m00s,-1
8,77,600.0015671253204,00h10m00s,-1
8,7,0.10601067543029785,00h00m00s,8.0
16,14,600.0006773471832,00h10m00s,-1
9,15,571.8584263324738,00h09m31s,18.0
8,9,0.6428923606872559,00h00m00s,12.0
9,8,2.310708522796631,00h00m02s,12.0
7,13,0.471510648727417,00h00m00s,18.0
9,57,600.0013406276703,00h10m00s,-1
8,11,4.406678199768066,00h00m04s,15.0
7,7,0.03188300132751465,00h00m00s,7.0
6,5,0.040163278579711914,00h00m00s,7.0
6,19,19.712641716003418,00h00m19s,28.0
7,17,101.87707161903381,00h01m41s,23.0
12,15,600.0010211467743,00h10m00s,-1
9,5,0.23712491989135742,00h00m00s,14.0
29,37,600.0012457370758,00h10m00s,-1
13,8,50.41934871673584,00h00m50s,17.0
10,7,6.156944274902344,00h00m06s,15.0
13,140,600.0024831295013,00h10m00s,-1
10,44,0.15661144256591797,00h00m00s,76.0
15,7,47.79627537727356,00h00m47s,21.0
13,9,18.75745153427124,00h00m18s,16.0
15,7,31.382949113845825,00h00m31s,21.0
12,7,2.832627058029175,00h00m02s,16.0
9,30,600.0007917881012,00h10m00s,-1
8,8,0.0039386749267578125,00h00m00s,0.0
15,8,600.0004990100861,00h10m00s,-1
6,10,0.00970005989074707,00h00m00s,13.0
115,15,600.0018975734711,00h10m00s,-1
15,7,39.77615308761597,00h00m39s,21.0
9,9,0.19772100448608398,00h00m00s,11.0
8,9,5.099508047103882,00h00m05s,12.0
10,29,600.0008969306946,00h10m00s,-1
13,28,600.0014097690582,00h10m00s,-1
9,15,295.8537714481354,00h04m55s,20.0
6,8,0.20280838012695312,00h00m00s,10.0
14,13,600.0007197856903,00h10m00s,-1
15,81,600.0022277832031,00h10m00s,-1
13,14,600.0009853839874,00h10m00s,-1
19,6,93.33610272407532,00h01m33s,30.0
10,11,143.57732820510864,00h02m23s,16.0
105,13,600.001678943634,00h10m00s,-1
77,11,600.0010941028595,00h10m00s,-1
28,14,600.0010545253754,00h10m00s,-1
19,15,600.0010471343994,00h10m00s,-1
10,14,0.3171672821044922,00h00m00s,11.0
11,11,0.018724918365478516,00h00m00s,3.0
7,8,0.6061460971832275,00h00m00s,7.0
124,20,600.0018563270569,00h10m00s,-1
13,7,64.0641987323761,00h01m04s,18.0
13,19,600.0010290145874,00h10m00s,-1
23,11,281.2268912792206,00h04m41s,31.0
17,9,600.0007801055908,00h10m00s,-1
7,10,4.875351190567017,00h00m04s,15.0
13,13,13.584684610366821,00h00m13s,15.0
13,12,135.59136605262756,00h02m15s,15.0
6,15,0.737494707107544,00h00m00s,19.0
13,50,600.0014269351959,00h10m00s,-1
9,14,52.47787618637085,00h00m52s,20.0
