nodes_g1,nodes_g2,time_sec,time_format,distance
15,11,600.0006983280182,00h10m00s,-1
7,9,0.08580827713012695,00h00m00s,10.0
13,15,600.0005495548248,00h10m00s,-1
9,8,8.751088380813599,00h00m08s,14.0
15,17,600.0008158683777,00h10m00s,-1
12,10,2.375845432281494,00h00m02s,13.0
19,15,600.0006959438324,00h10m00s,-1
5,10,0.015420675277709961,00h00m00s,15.0
35,14,600.0009398460388,00h10m00s,-1
6,13,1.1506741046905518,00h00m01s,16.0
7,10,6.070349931716919,00h00m06s,14.0
19,9,600.0006165504456,00h10m00s,-1
7,7,1.0408635139465332,00h00m01s,9.0
25,11,600.0006625652313,00h10m00s,-1
9,7,1.771193265914917,00h00m01s,12.0
17,6,0.6502976417541504,00h00m00s,23.0
13,24,600.0006771087646,00h10m00s,-1
10,8,1.2604339122772217,00h00m01s,12.0
8,8,4.660775661468506,00h00m04s,12.0
77,19,600.0014078617096,00h10m00s,-1
8,8,0.5723774433135986,00h00m00s,9.0
7,7,0.4388442039489746,00h00m00s,10.0
16,13,600.000545501709,00h10m00s,-1
14,9,214.21277236938477,00h03m34s,19.0
9,10,20.82966160774231,00h00m20s,10.0
15,8,131.11097407341003,00h02m11s,19.0
8,17,600.0007698535919,00h10m00s,-1
9,8,1.1280431747436523,00h00m01s,10.0
9,9,0.7007639408111572,00h00m00s,11.0
8,36,600.0007140636444,00h10m00s,-1
7,6,0.06019139289855957,00h00m00s,8.0
13,5,0.15723204612731934,00h00m00s,19.0
9,12,202.32917642593384,00h03m22s,17.0
57,15,600.0013680458069,00h10m00s,-1
8,11,31.840325117111206,00h00m31s,13.0
11,11,24.736872673034668,00h00m24s,14.0
7,6,0.06943798065185547,00h00m00s,7.0
7,10,7.878403425216675,00h00m07s,14.0
6,12,0.19336557388305664,00h00m00s,17.0
5,7,0.0073354244232177734,00h00m00s,9.0
6,6,0.003253459930419922,00h00m00s,0.0
19,7,8.044702053070068,00h00m08s,26.0
7,13,19.00553607940674,00h00m19s,18.0
17,11,600.000527381897,00h10m00s,-1
12,6,0.014935970306396484,00h00m00s,16.0
15,11,600.0006325244904,00h10m00s,-1
9,11,167.63820695877075,00h02m47s,15.0
5,12,0.06903910636901855,00h00m00s,20.0
29,26,600.0009582042694,00h10m00s,-1
37,23,600.000997543335,00h10m00s,-1
13,7,29.73416495323181,00h00m29s,18.0
8,11,9.078094959259033,00h00m09s,14.0
10,7,12.250619888305664,00h00m12s,15.0
7,12,28.015345096588135,00h00m28s,18.0
13,18,600.0007374286652,00h10m00s,-1
140,7,600.0015225410461,00h10m00s,-1
10,7,2.3682379722595215,00h00m02s,14.0
44,5,79.51894402503967,00h01m19s,82.0
15,10,600.000890493393,00h10m00s,-1
7,17,97.69897961616516,00h01m37s,24.0
13,13,43.235265493392944,00h00m43s,16.0
9,14,192.94605922698975,00h03m12s,20.0
15,8,389.0400938987732,00h06m29s,21.0
7,34,600.0009036064148,00h10m00s,-1
12,6,0.1903092861175537,00h00m00s,17.0
7,8,0.20865845680236816,00h00m00s,9.0
9,5,0.010228633880615234,00h00m00s,11.0
30,8,600.0007193088531,00h10m00s,-1
8,8,0.005213737487792969,00h00m00s,0.0
8,15,297.323082447052,00h04m57s,17.0
15,13,600.0007238388062,00h10m00s,-1
8,8,0.005149126052856445,00h00m00s,0.0
6,4,0.003789186477661133,00h00m00s,9.0
10,11,600.000494480133,00h10m00s,-1
115,15,600.0011487007141,00h10m00s,-1
15,12,600.000613451004,00h10m00s,-1
15,74,600.0009124279022,00h10m00s,-1
7,11,3.0864880084991455,00h00m03s,14.0
9,9,0.45810890197753906,00h00m00s,11.0
9,6,0.2708146572113037,00h00m00s,11.0
8,13,394.0022237300873,00h06m34s,18.0
9,8,1.2373721599578857,00h00m01s,10.0
10,10,7.416346073150635,00h00m07s,12.0
29,32,600.000700712204,00h10m00s,-1
13,9,15.03708004951477,00h00m15s,17.0
28,7,189.1954905986786,00h03m09s,47.0
9,15,451.8058834075928,00h07m31s,21.0
15,14,600.0008056163788,00h10m00s,-1
6,38,69.96162438392639,00h01m09s,69.0
8,17,600.0007634162903,00h10m00s,-1
14,14,600.000734090805,00h10m00s,-1
13,11,67.30881690979004,00h01m07s,14.0
15,13,600.0007526874542,00h10m00s,-1
81,15,600.0013287067413,00h10m00s,-1
13,13,0.010484695434570312,00h00m00s,0.0
14,6,0.17551398277282715,00h00m00s,21.0
19,8,600.0004751682281,00h10m00s,-1
6,7,0.10032415390014648,00h00m00s,7.0
10,11,593.3731570243835,00h09m53s,15.0
11,57,600.0011632442474,00h10m00s,-1
105,13,600.0012545585632,00h10m00s,-1
13,7,0.03676795959472656,00h00m00s,17.0
77,10,600.0007548332214,00h10m00s,-1
11,8,54.23630332946777,00h00m54s,16.0
28,55,600.0012323856354,00h10m00s,-1
14,8,181.85298490524292,00h03m01s,21.0
19,6,15.864877462387085,00h00m15s,28.0
15,12,600.0004281997681,00h10m00s,-1
10,74,2.747793436050415,00h00m02s,136.0
14,9,69.92313289642334,00h01m09s,18.0
11,9,22.000434160232544,00h00m22s,13.0
11,19,600.0006318092346,00h10m00s,-1
7,14,41.26962947845459,00h00m41s,21.0
8,11,17.576571464538574,00h00m17s,14.0
124,7,600.0009822845459,00h10m00s,-1
20,44,600.0008897781372,00h10m00s,-1
13,29,600.0008623600006,00h10m00s,-1
7,15,65.85421752929688,00h01m05s,21.0
13,8,193.83922410011292,00h03m13s,21.0
19,10,600.0007889270782,00h10m00s,-1
23,13,600.0008900165558,00h10m00s,-1
11,18,600.0007798671722,00h10m00s,-1
17,19,600.000750541687,00h10m00s,-1
9,13,76.08378958702087,00h01m16s,18.0
7,82,600.0008223056793,00h10m00s,-1
10,14,600.0005934238434,00h10m00s,-1
13,13,15.034651279449463,00h00m15s,12.0
13,8,27.161959648132324,00h00m27s,19.0
13,20,600.000513792038,00h10m00s,-1
12,7,37.92533493041992,00h00m37s,18.0
6,7,0.03756833076477051,00h00m00s,6.0
15,9,600.0004601478577,00h10m00s,-1
13,29,600.0008933544159,00h10m00s,-1
50,15,600.0009508132935,00h10m00s,-1
9,11,43.91861891746521,00h00m43s,14.0
14,46,600.0008931159973,00h10m00s,-1
10,14,600.0007133483887,00h10m00s,-1
12,11,120.47077512741089,00h02m00s,11.0
7,19,600.0006291866302,00h10m00s,-1
30,10,600.0008137226105,00h10m00s,-1
13,14,600.0006530284882,00h10m00s,-1
6,280,600.0027101039886,00h10m00s,-1
14,14,600.000732421875,00h10m00s,-1
6,13,3.149705410003662,00h00m03s,18.0
14,9,500.1609740257263,00h08m20s,21.0
5,19,0.1742398738861084,00h00m00s,31.0
6,24,65.00378155708313,00h01m05s,42.0
13,10,600.0005884170532,00h10m00s,-1
6,21,322.88230562210083,00h05m22s,32.0
25,71,600.0011987686157,00h10m00s,-1
15,15,0.013527870178222656,00h00m00s,1.0
15,9,600.000538110733,00h10m00s,-1
13,17,600.0007407665253,00h10m00s,-1
15,42,600.0009887218475,00h10m00s,-1
8,19,600.000732421875,00h10m00s,-1
25,5,0.026851892471313477,00h00m00s,38.0
19,71,600.0009045600891,00h10m00s,-1
16,13,600.0007996559143,00h10m00s,-1
12,15,600.0007259845734,00h10m00s,-1
11,27,600.0008721351624,00h10m00s,-1
13,6,2.044116497039795,00h00m02s,17.0
13,14,600.000563621521,00h10m00s,-1
16,20,600.0008976459503,00h10m00s,-1
20,7,12.761414051055908,00h00m12s,29.0
6,7,0.07314753532409668,00h00m00s,6.0
12,7,0.7079715728759766,00h00m00s,14.0
7,11,0.022713661193847656,00h00m00s,11.0
8,6,0.008469820022583008,00h00m00s,9.0
9,9,0.9051220417022705,00h00m00s,7.0
7,13,0.9589993953704834,00h00m00s,17.0
10,8,4.589515447616577,00h00m04s,13.0
6,8,1.0444884300231934,00h00m01s,13.0
13,38,600.0005986690521,00h10m00s,-1
107,15,600.0012724399567,00h10m00s,-1
27,10,600.0008990764618,00h10m00s,-1
11,14,600.0006501674652,00h10m00s,-1
13,5,3.1702239513397217,00h00m03s,19.0
18,5,5.179292678833008,00h00m05s,27.0
15,67,600.0010704994202,00h10m00s,-1
11,14,600.000735282898,00h10m00s,-1
17,15,600.0008306503296,00h10m00s,-1
13,15,600.0007362365723,00h10m00s,-1
79,13,600.0046818256378,00h10m00s,-1
8,8,0.009107351303100586,00h00m00s,5.0
13,13,0.016138076782226562,00h00m00s,13.0
28,8,600.0005974769592,00h10m00s,-1
8,61,600.0011773109436,00h10m00s,-1
14,16,600.0007016658783,00h10m00s,-1
12,10,130.03618836402893,00h02m10s,15.0
14,13,600.0007889270782,00h10m00s,-1
27,15,600.0008316040039,00h10m00s,-1
6,12,0.6790587902069092,00h00m00s,17.0
68,19,600.0008325576782,00h10m00s,-1
11,7,16.243704795837402,00h00m16s,16.0
12,14,600.000631570816,00h10m00s,-1
11,66,600.0012199878693,00h10m00s,-1
10,5,0.5239014625549316,00h00m00s,15.0
7,8,0.45038795471191406,00h00m00s,9.0
11,12,600.0004532337189,00h10m00s,-1
8,17,600.0007002353668,00h10m00s,-1
17,8,600.0006239414215,00h10m00s,-1
12,11,600.0006456375122,00h10m00s,-1
8,7,0.5179321765899658,00h00m00s,9.0
5,10,0.5340883731842041,00h00m00s,15.0
66,11,600.001225233078,00h10m00s,-1
14,12,600.0007786750793,00h10m00s,-1
7,11,14.716708660125732,00h00m14s,16.0
19,68,600.0009534358978,00h10m00s,-1
12,6,0.8202981948852539,00h00m00s,17.0
15,27,600.0007064342499,00h10m00s,-1
13,14,600.0006957054138,00h10m00s,-1
10,12,85.20059847831726,00h01m25s,15.0
16,14,600.0006654262543,00h10m00s,-1
61,8,600.0008611679077,00h10m00s,-1
8,28,600.0006477832794,00h10m00s,-1
13,13,0.03918123245239258,00h00m00s,13.0
8,8,0.0389554500579834,00h00m00s,7.0
13,79,600.0010676383972,00h10m00s,-1
15,13,600.0008156299591,00h10m00s,-1
15,17,600.0008459091187,00h10m00s,-1
14,11,600.0008087158203,00h10m00s,-1
67,15,600.0016007423401,00h10m00s,-1
5,18,5.109814882278442,00h00m05s,27.0
5,13,3.109386444091797,00h00m03s,19.0
14,11,600.0004658699036,00h10m00s,-1
10,27,600.0009255409241,00h10m00s,-1
15,107,600.0015342235565,00h10m00s,-1
38,13,600.0009651184082,00h10m00s,-1
8,6,1.2446377277374268,00h00m01s,13.0
8,10,4.376426696777344,00h00m04s,13.0
13,7,0.7570521831512451,00h00m00s,17.0
9,9,0.7246816158294678,00h00m00s,7.0
6,8,0.008469104766845703,00h00m00s,9.0
11,7,0.022640466690063477,00h00m00s,11.0
7,12,2.1869916915893555,00h00m02s,14.0
7,6,0.09335565567016602,00h00m00s,8.0
7,20,16.829887866973877,00h00m16s,29.0
20,16,600.0005466938019,00h10m00s,-1
14,13,600.0007779598236,00h10m00s,-1
6,13,2.0000979900360107,00h00m02s,17.0
27,11,600.0007133483887,00h10m00s,-1
15,12,600.0008335113525,00h10m00s,-1
13,16,600.0007932186127,00h10m00s,-1
71,19,600.001170873642,00h10m00s,-1
5,25,0.026844263076782227,00h00m00s,38.0
19,8,145.04378080368042,00h02m25s,24.0
42,15,600.000988483429,00h10m00s,-1
17,13,600.0008237361908,00h10m00s,-1
9,15,600.0007107257843,00h10m00s,-1
15,15,0.014011144638061523,00h00m00s,1.0
71,25,600.0010702610016,00h10m00s,-1
21,6,323.9083209037781,00h05m23s,32.0
10,13,600.000696182251,00h10m00s,-1
24,6,65.0223457813263,00h01m05s,42.0
19,5,0.17096471786499023,00h00m00s,31.0
9,14,500.93079900741577,00h08m20s,21.0
13,6,2.8140251636505127,00h00m02s,18.0
14,14,600.000522851944,00h10m00s,-1
280,6,600.0036787986755,00h10m00s,-1
14,13,600.0007615089417,00h10m00s,-1
10,30,600.0009694099426,00h10m00s,-1
19,7,600.0007297992706,00h10m00s,-1
11,12,154.453999042511,00h02m34s,11.0
14,10,600.0007374286652,00h10m00s,-1
46,14,600.0011756420135,00h10m00s,-1
11,9,38.669721364974976,00h00m38s,14.0
15,50,600.0010271072388,00h10m00s,-1
29,13,600.0009853839874,00h10m00s,-1
9,15,600.0006811618805,00h10m00s,-1
7,6,0.0433344841003418,00h00m00s,7.0
7,12,40.51539897918701,00h00m40s,18.0
20,13,600.0007779598236,00h10m00s,-1
8,13,27.450565338134766,00h00m27s,19.0
13,13,13.258157730102539,00h00m13s,12.0
14,10,600.0004777908325,00h10m00s,-1
82,7,600.0012135505676,00h10m00s,-1
13,9,71.51546835899353,00h01m11s,18.0
19,17,600.0008089542389,00h10m00s,-1
18,11,600.0008056163788,00h10m00s,-1
13,23,600.0008671283722,00h10m00s,-1
10,19,600.0008316040039,00h10m00s,-1
8,13,198.73086190223694,00h03m18s,21.0
15,7,65.2357885837555,00h01m05s,21.0
29,13,600.0008299350739,00h10m00s,-1
44,20,600.0011506080627,00h10m00s,-1
7,124,600.001416683197,00h10m00s,-1
11,8,18.40621542930603,00h00m18s,14.0
14,7,39.18240714073181,00h00m39s,21.0
19,11,34.482285261154175,00h00m34s,22.0
9,11,19.66482973098755,00h00m19s,13.0
9,14,66.57801866531372,00h01m06s,18.0
74,10,2.9998302459716797,00h00m02s,136.0
12,15,600.0007100105286,00h10m00s,-1
6,19,28.300034761428833,00h00m28s,28.0
8,14,402.1803734302521,00h06m42s,21.0
55,28,600.0012803077698,00h10m00s,-1
8,11,49.908557653427124,00h00m49s,16.0
10,77,600.0009560585022,00h10m00s,-1
7,13,0.03520989418029785,00h00m00s,17.0
13,105,600.0010666847229,00h10m00s,-1
57,11,600.0009071826935,00h10m00s,-1
11,10,396.5527312755585,00h06m36s,15.0
7,6,0.1459193229675293,00h00m00s,7.0
8,19,600.0005719661713,00h10m00s,-1
6,14,0.16702890396118164,00h00m00s,21.0
13,13,0.0098876953125,00h00m00s,0.0
15,81,600.001232624054,00h10m00s,-1
13,15,600.0009002685547,00h10m00s,-1
11,13,57.545382499694824,00h00m57s,14.0
14,14,600.0008962154388,00h10m00s,-1
17,8,600.000670671463,00h10m00s,-1
38,6,35.20244598388672,00h00m35s,69.0
